"ALVIN ISD","MELBA PASSMORE EL","020901","020901108","","N","R","NA","","N","EE - 06","020","04","BRAZORIA","Elementary"
"ALVIN ISD","R L STEVENSON EL","020901","020901106","020901104","N","R","NA","WALT DISNEY ELEM.","N","EE - 03","020","04","BRAZORIA","Elementary"
"ALVIN ISD","WALT DISNEY EL","020901","020901107","","N","A","NA","","N","04 - 06","020","04","BRAZORIA","Elementary"
"ALVORD ISD","ALVORD EL","249901","249901101","","N","R","NA","","N","KG - 05","249","11","WISE","Elementary"
"ALVORD ISD","ALVORD H S","249901","249901001","","N","E","NQ","","N","09 - 12","249","11","WISE","Secondary"
"ALVORD ISD","ALVORD J H","249901","249901041","","N","R","NA","","N","06 - 08","249","11","WISE","Middle"
"AMARILLO ISD","AMARILLO CTR ADVANCED LRN","188901","188901003","","N","N","NR","","N","09 - 12","188","16","POTTER","Secondary"
"AMARILLO ISD","AMARILLO H S","188901","188901001","","N","R","NQ","","N","09 - 12","188","16","POTTER","Secondary"
"AMARILLO ISD","AUSTIN MIDDLE","188901","188901041","","N","A","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","AVONDALE EL","188901","188901101","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","BELMAR EL","188901","188901102","","N","E","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","BIVINS EL","188901","188901103","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","BONHAM MIDDLE","188901","188901048","","N","E","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","BOWIE MIDDLE","188901","188901042","","N","A","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","CAPROCK H S","188901","188901002","","N","A","NQ","","N","09 - 12","188","16","POTTER","Secondary"
"AMARILLO ISD","CARVER ACADEMY EL","188901","188901170","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","CORONADO EL","188901","188901104","","N","R","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","CROCKETT MIDDLE","188901","188901043","","N","E","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","EASTRIDGE EL","188901","188901105","","N","R","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","EMERSON EL","188901","188901106","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","FANNIN MIDDLE","188901","188901044","","N","A","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","FOREST HILL EL","188901","188901107","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","GLENWOOD EL","188901","188901108","","N","A","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","HAMLET EL","188901","188901109","","N","R","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","HOMEBOUND","188901","188901171","","N","N","NR","","N","05 - 11","188","16","POTTER","Both Elem/Sec"
"AMARILLO ISD","HOUSTON MIDDLE","188901","188901045","","N","A","NA","","N","06 - 08","188","16","POTTER","Middle"
"AMARILLO ISD","HUMPHREY'S HIGHLAND EL","188901","188901111","","N","R","NA","","N","PK - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","LAMAR EL","188901","188901112","","N","R","NA","","N","EE - 05","188","16","POTTER","Elementary"
"AMARILLO ISD","LANDERGIN EL","188901","188901113","","N","R","NA","","N","EE - 05","188","16","POTTER","Elementary"
